"poradi","poskytovatel","druh_podpory_kod","druh_podpory_popis","rok","stav_podpory","vyse_podpory"
"302","GA0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2021","PRI","500000.00"
"303","GA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2020","CER-1","111055000.00"
"304","GA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2021","PRI","119783000.00"
"305","MO0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2020","CER-1","579318.00"
"306","MO0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2021","PRI","3100000.00"
"307","MK0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2020","CER-1","2686749.00"
"308","MK0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2021","PRI","8205931.00"
"309","MZ0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2020","CER-1","8937000.00"
"310","MZ0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2021","PRI","13169846.00"
"311","MZ0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2020","CER-1","500000.00"
"312","MZ0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2021","PRI","500000.00"
"313","MZ0","SPP","Skutečně vynaložená výše podpory na skupinu grantových projektů nebo program (podle § 3 písm. b) bod 8 nařízení vlády)","2020","CER-1","737195000.00"
"314","MZ0","SPP","Skutečně vynaložená výše podpory na skupinu grantových projektů nebo program (podle § 3 písm. b) bod 8 nařízení vlády)","2021","PRI","470000000.00"
"315","MZ0","SPP","Skutečně vynaložená výše podpory na skupinu grantových projektů nebo program (podle § 3 písm. b) bod 8 nařízení vlády)","2020","CER-1","203984035.00"
"316","MZ0","SPP","Skutečně vynaložená výše podpory na skupinu grantových projektů nebo program (podle § 3 písm. b) bod 8 nařízení vlády)","2021","PRI","572621666.00"
"317","MPS","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2020","CER-1","287674.40"
"318","MPS","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2021","PRI","300000.00"
"319","MSM","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2020","CER-1","900000.00"
"320","MSM","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2021","PRI","999017.00"
"321","MSM","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2020","CER-1","30000000.00"
"322","MSM","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2021","PRI","8495241.00"
"323","MSM","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2020","CER-1","0.00"
"324","MSM","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2021","PRI","528227.16"
"325","TA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2020","CER-1","184575267.87"
"326","TA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2021","PRI","218445000.00"
"327","AV0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2020","CER-1","2073849771.15"
"328","AV0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2021","PRI","1901753845.38"
"329","MZP","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2020","CER-1","370895.00"
"330","MZP","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2021","PRI","413000.00"
"331","MZE","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2020","CER-1","420000.00"
"332","MZE","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2021","PRI","480000.00"
"333","MZE","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2020","CER-1","691052.68"
"334","MZE","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2021","PRI","5000000.00"
"335","MV0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2020","CER-1","1667671.81"
"336","MV0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2021","PRI","6500000.00"
"337","MV0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2020","CER-1","500000.00"
"338","MV0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2021","PRI","500000.00"
"339","MSM","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2022","PRI","1000000.00"
"340","MSM","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2021","CER-1","1000000.00"
"341","MZ0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2022","PRI","13369846.00"
"342","MZ0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2021","CER-1","13142018.99"
"343","MZ0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2022","PRI","500000.00"
"344","MZ0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2021","CER-1","500000.00"
"345","MZ0","SPP","Skutečně vynaložená výše podpory na skupinu grantových projektů nebo program (podle § 3 písm. b) bod 8 nařízení vlády)","2021","CER-1","483181000.00"
"346","MZ0","SPP","Skutečně vynaložená výše podpory na skupinu grantových projektů nebo program (podle § 3 písm. b) bod 8 nařízení vlády)","2022","PRI","200000000.00"
"347","MZ0","SPP","Skutečně vynaložená výše podpory na skupinu grantových projektů nebo program (podle § 3 písm. b) bod 8 nařízení vlády)","2021","CER-1","549650184.98"
"348","MZ0","SPP","Skutečně vynaložená výše podpory na skupinu grantových projektů nebo program (podle § 3 písm. b) bod 8 nařízení vlády)","2022","PRI","842621666.00"
"349","MO0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2021","CER-1","909355.99"
"350","MO0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2022","PRI","3100000.00"
"351","MK0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2021","CER-1","3984758.00"
"352","MK0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2022","PRI","7610151.00"
"353","MZE","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2021","CER-1","480000.00"
"354","MZE","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2022","PRI","480000.00"
"355","MZE","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2021","CER-1","582986.21"
"356","MZE","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2022","PRI","5000000.00"
"357","URV","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2021","CER-1","58149837.16"
"358","URV","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2022","PRI","66396412.00"
"359","URV","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2021","CER-1","1350000.00"
"360","URV","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2022","PRI","1550000.00"
"361","MPS","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2021","CER-1","257672.76"
"362","MPS","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2022","PRI","300000.00"
"363","TA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2022","PRI","246750502.00"
"364","TA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2021","CER-1","200529973.80"
"365","AV0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2021","CER-1","1901753845.38"
"366","AV0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2022","PRI","296663849.00"
"367","GA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2021","CER-1","119283000.00"
"368","GA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2022","PRI","123390000.00"
"369","GA0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2021","CER-1","500000.00"
"370","GA0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2022","PRI","500000.00"
"371","MZP","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2021","CER-1","413000.00"
"372","MZP","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2022","PRI","413000.00"
"373","MV0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2022","PRI","6500000.00"
"374","MV0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2021","CER-1","3103223.76"
"375","MV0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2021","CER-1","500000.00"
"376","MV0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2022","PRI","500000.00"
"377","MSM","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2021","CER-1","8495241.00"
"378","MSM","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2022","PRI","998542.00"
"379","MSM","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2021","CER-1","528227.16"
"380","MSM","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2022","PRI","0.00"
"381","URV","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2022","CER-1","65332063.47"
"382","URV","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2023","PRI","68562910.00"
"383","URV","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2022","CER-1","1350000.00"
"384","URV","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2023","PRI","1550000.00"
"385","MZP","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2022","CER-1","397386.00"
"386","MZP","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2023","PRI","413000.00"
"387","MPS","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2022","CER-1","284096.12"
"388","MPS","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2023","PRI","750000.00"
"389","MSM","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2022","CER-1","0.00"
"390","MSM","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2023","PRI","5000000.00"
"391","MSM","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2022","CER-1","1000000.00"
"392","MSM","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2023","PRI","900000.00"
"393","MSM","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2022","CER-1","1115442.00"
"394","MSM","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2023","PRI","831962.00"
"395","MV0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2022","CER-1","500000.00"
"396","MV0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2023","PRI","500000.00"
"397","MV0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2022","CER-1","3001645.53"
"398","MV0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2023","PRI","6500000.00"
"399","MK0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2022","CER-1","6360883.00"
"400","MK0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2023","PRI","6592246.00"
"401","MZ0","SPP","Skutečně vynaložená výše podpory na skupinu grantových projektů nebo program (podle § 3 písm. b) bod 8 nařízení vlády)","2022","CER-1","233419000.00"
"402","MZ0","SPP","Skutečně vynaložená výše podpory na skupinu grantových projektů nebo program (podle § 3 písm. b) bod 8 nařízení vlády)","2023","PRI","0.00"
"403","MZ0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2022","CER-1","500000.00"
"404","MZ0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2023","PRI","500000.00"
"405","MZ0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2022","CER-1","13142000.00"
"406","MZ0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2023","PRI","13369846.00"
"407","MZ0","SPP","Skutečně vynaložená výše podpory na skupinu grantových projektů nebo program (podle § 3 písm. b) bod 8 nařízení vlády)","2022","CER-1","907337000.00"
"408","MZ0","SPP","Skutečně vynaložená výše podpory na skupinu grantových projektů nebo program (podle § 3 písm. b) bod 8 nařízení vlády)","2023","PRI","1042621666.00"
"409","GA0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2022","CER-1","500000.00"
"410","GA0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2023","PRI","500000.00"
"411","GA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2022","CER-1","124215380.52"
"412","GA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2023","PRI","126484639.00"
"413","MPO","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2023","PRI","6000000.00"
"414","MPO","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2022","CER-1","6000000.00"
"415","MZE","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2022","CER-1","480000.00"
"416","MZE","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2023","PRI","480000.00"
"417","MZE","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2022","CER-1","934754.54"
"418","MZE","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2023","PRI","5000000.00"
"419","MO0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2022","CER-1","445405.56"
"420","MO0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2023","PRI","3100000.00"
"421","AV0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2022","CER-1","1529975666.00"
"422","AV0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2023","PRI","102708254.00"
"423","AV0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2022","CER-1","0.00"
"424","AV0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2023","PRI","1000000.00"
"425","TA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2022","CER-1","213250646.80"
"426","TA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2023","PRI","243834795.00"
"427","AV0","CAV","Podpora činnosti pracovišť AV ČR","2022","CER-1","0.00"
"428","AV0","CAV","Podpora činnosti pracovišť AV ČR","2023","PRI","1313207211.00"
